p,mode,n_eff,median_diff,r_rb,p_fdr,reject,pass_effect,unit_id,image
1.067195498661493e-83,exact,682,4.0,0.7805094824884179,7.114636657743287e-83,True,True,1049374961,im012_r
9.322054639710022e-34,exact,193,4.0,0.8784252977939213,2.5784406450261762e-33,True,True,1049375118,im012_r
3.9022969684023996e-35,exact,879,4.0,0.46700020684662324,1.1149419909721143e-34,True,True,1049375346,im012_r
5.68987913148847e-53,exact,651,4.0,0.6527899503359627,2.228968102721673e-52,True,True,1049375347,im012_r
0.998542925070003,exact,536,-4.0,-0.14813502320798244,1.0,False,False,1049375348,im012_r
6.116587103256328e-18,exact,1019,4.0,0.3060132001770286,1.2328005014315078e-17,True,True,1049375349,im012_r
2.4713693212514656e-225,exact,1141,12.0,0.9279075871320669,1.285112047050762e-223,True,True,1049374962,im012_r
1.0,exact,1078,-8.0,-0.41608993416222334,1.0,False,True,1049375341,im012_r
2.1793301200432925e-244,exact,1094,8.0,0.9589224746020218,1.41656457802814e-242,True,True,1049374958,im012_r
0.0020471088353203456,exact,279,4.0,0.19774705581157195,0.003024138052177783,True,False,1049374959,im012_r
1.1507041757767894e-06,exact,129,4.0,0.46869409660107336,1.8132308224361532e-06,True,True,1049375110,im012_r
1.0,exact,898,-4.0,-0.5295862019417764,1.0,False,True,1049375318,im012_r
1.0829944408724686e-15,exact,169,4.0,0.6645318482422555,2.1171319896755026e-15,True,True,1049375320,im012_r
0.038921760105817986,exact,204,4.0,0.142467718794835,0.055298675560178555,False,False,1049374955,im012_r
2.4638632734679856e-78,exact,648,4.0,0.775300081797257,1.4559192070492641e-77,True,True,1049375345,im012_r
4.053306799661328e-12,exact,636,4.0,0.3096570994145118,7.31847061049962e-12,True,True,1049374956,im012_r
3.881982792147077e-33,exact,483,4.0,0.5987030097702034,1.0513703395398332e-32,True,True,1049375338,im012_r
4.5132553569270073e-23,exact,440,4.0,0.5227685013399299,1.0029456348726683e-22,True,True,1049375340,im012_r
4.8250816157319775e-95,exact,536,4.0,0.8939033880874955,4.325935241690738e-94,True,True,1049374954,im012_r
1.3156283463571002e-75,exact,1089,8.0,0.6117505328514503,7.126320209434292e-75,True,True,1049374953,im012_r
1.6346889706692825e-13,exact,690,4.0,0.316520900186665,3.0576915998130465e-13,True,True,1049374951,im012_r
1.1812732040702057e-09,exact,585,4.0,0.28252968116449345,1.9943573575211266e-09,True,True,1049374952,im012_r
3.315926121385955e-90,exact,853,4.0,0.7353547611268673,2.8738026385344943e-89,True,True,1049375333,im012_r
6.217131830530563e-26,exact,716,4.0,0.4412278036199871,1.4304905096795986e-25,True,True,1049374948,im012_r
0.999999999412602,exact,523,-4.0,-0.304000700596967,1.0,False,True,1049374949,im012_r
1.1316746338401676e-48,exact,771,4.0,0.5818935102114877,4.030621983540323e-48,True,True,1049375334,im012_r
1.2187590155304202e-31,exact,436,4.0,0.6131883358176055,3.1687734403790925e-31,True,True,1049375327,im012_r
2.2110467342467098e-63,exact,872,4.0,0.6228574881511607,1.0645780572298973e-62,True,True,1049375330,im012_r
1.1511223506293953e-08,exact,774,4.0,0.23057097607735266,1.870573819772767e-08,True,False,1049374943,im012_r
0.0003817196163925047,exact,962,4.0,0.1251092933335924,0.0005671262872117211,True,False,1049374944,im012_r
2.716999736022391e-69,exact,642,4.0,0.7393594085357287,1.3851371203251406e-68,True,True,1049375331,im012_r
1.4571486673508997e-49,exact,557,4.0,0.6778826663577924,5.261925743211582e-49,True,True,1049374942,im012_r
7.360035257499342e-19,exact,880,4.0,0.3377515220307502,1.5308873335598631e-18,True,True,1049375309,im012_r
3.2000784092526168e-34,exact,586,4.0,0.5568837904308946,8.946455767803014e-34,True,True,1049375332,im012_r
0.013421710050510467,exact,1017,4.0,0.08011930772158184,0.019279804492445977,True,False,1049374950,im012_r
1.4613712746451944e-05,exact,134,4.0,0.40939745715865117,2.2350384200455912e-05,True,True,1049374947,im012_r
9.475441719197749e-26,exact,623,4.0,0.46961559040210726,2.161065655255627e-25,True,True,1049374946,im012_r
0.9999999999999999,exact,352,-4.0,-0.6018059490084986,1.0,False,True,1049374945,im012_r
4.757549192637229e-88,exact,849,4.0,0.7292482505369638,3.748372091168726e-87,True,True,1049374936,im012_r
2.1509236251432356e-38,exact,1057,4.0,0.4473695035169265,6.579295794555779e-38,True,True,1049374934,im012_r
1.2921992495495837e-07,exact,699,4.0,0.22377273656243613,2.0739000301413072e-07,True,False,1049374941,im012_r
0.00279065314215434,exact,272,4.0,0.1933850463262228,0.004099264502599596,True,False,1049374940,im012_r
0.8785627482886454,exact,564,-4.0,-0.05677524634406578,1.0,False,False,1049374939,im012_r
1.0,exact,752,-4.0,-0.6812077929417083,1.0,False,True,1049374938,im012_r
1.0,exact,869,-4.0,-0.45421213443910957,1.0,False,True,1049374937,im012_r
0.9999859641049064,exact,448,-4.0,-0.22724109131403117,1.0,False,False,1049374935,im012_r
2.5001780714234587e-221,exact,1140,12.0,0.9232452296385134,1.083410497616832e-219,True,True,1049375324,im012_r
2.5685833416600537e-201,exact,1154,12.0,0.8926722035907478,9.540452411880199e-200,True,True,1049375325,im012_r
0.9999999999999999,exact,897,-4.0,-0.4323170777126427,1.0,False,True,1049374933,im012_r
